Exterior_team,score_exterior,scorer_names_ext,Domicile_team,score_dom,scorer_names_dom,lieu_match,date,journee,region,clean_date,temp_max,temp_min,precipitations
Lyon,1,['L. Dubois'],Lorient,1,['Y. Wissa'],Lorient,2020/09/27,5,bretagne,2020-09-27 17:00:00+02:00,17°,8°,0mm
Paris-SG,2,"['M. Icardi', 'M. Icardi']",Reims,0,[],Reims,2020/09/27,5,champagne-ardenne,2020-09-27 21:00:00+02:00,15°,11°,21mm
Angers,1,['I. Traoré'],Paris-SG,6,"['A. Florenzi', 'Neymar 36’', 'Neymar 47’', 'J. Draxler', 'I. Gueye', 'K. Mbappé']",Paris,2020/10/02,6,ile-de-france,2020-10-02 21:00:00+02:00,15°,12°,31mm
Saint-Étienne,0,[],Lens,2,"['G. Kakuta', 'F. Sotoca']",Lens,2020/10/03,6,nord-pas-de-calais,2020-10-03 17:00:00+02:00,15°,12°,22mm
Nantes,1,['+6 I.'],Nice,2,"['Dante 27’', 'K. Thuram']",Nice,2020/10/03,6,provence-alpes-c-te-d-azur,2020-10-03 21:00:00+02:00,17°,14°,22mm
Nîmes,1,['R. Ripart'],Montpellier,0,[],Montpellier,2020/10/04,6,languedoc-roussillon,2020-10-04 13:00:00+02:00,17°,15°,2mm
Lille,3,"['M. Çelik', 'R. Sanches', 'B. Yilmaz']",Strasbourg,0,[],Strasbourg,2020/10/04,6,alsace,2020-10-04 15:00:00+02:00,17°,10°,2mm
Monaco,0,[],Brest,1,['R. Faivre'],Brest,2020/10/04,6,bretagne,2020-10-04 15:00:00+02:00,13°,11°,7mm
Dijon,0,[],Bordeaux,3,"['R. Oudin', 'S. Kalu', 'T. Basic']",Bordeaux,2020/10/04,6,aquitaine,2020-10-04 15:00:00+02:00,15°,12°,13mm
Lorient,1,['P. Hamel'],Metz,3,"['I. Niane', 'I. Niane', 'I. Niane']",Metz,2020/10/04,6,lorraine,2020-10-04 15:00:00+02:00,13°,9°,18mm
Reims,2,"['Y. Abdelhamid', 'B. Dia']",Rennes,2,"['Raphinha 24’', 'D. Da']",Rennes,2020/10/04,6,bretagne,2020-10-04 17:00:00+02:00,15°,8°,4mm
Marseille,1,['D. Payet'],Lyon,1,['H. Aouar'],Lyon,2020/10/04,6,rh-ne-alpes,2020-10-04 21:00:00+02:00,15°,10°,5mm
Rennes,1,['M. Terrier'],Dijon,1,['M. Baldé'],Dijon,2020/10/16,7,bourgogne,2020-10-16 19:00:00+02:00,12°,8°,2mm
Paris-SG,4,"['K. Mbappé', 'A. Florenzi', 'K. Mbappé', 'P. Sarabia']",Nîmes,0,[],Nîmes,2020/10/16,7,languedoc-roussillon,2020-10-16 21:00:00+02:00,16°,9°,0mm
Lorient,3,"['P. Hamel', 'Y. Wissa', 'T. Moffi']",Reims,1,['M. Cassama'],Reims,2020/10/17,7,champagne-ardenne,2020-10-17 17:00:00+02:00,11°,7°,0mm
Bordeaux,1,['J. Maja'],Marseille,3,"['F. Thauvin', 'J. Amavi', 'Pablo 64’']",Marseille,2020/10/17,7,provence-alpes-c-te-d-azur,2020-10-17 21:00:00+02:00,17°,13°,0mm
Lyon,3,"['T. Kadewere', 'K. Toko', 'K. Toko']",Strasbourg,2,"['H. Diallo', 'J. Aholou']",Strasbourg,2020/10/18,7,alsace,2020-10-18 13:00:00+02:00,13°,7°,2mm
Montpellier,1,['S. Mavididi'],Monaco,1,['W. Ben'],Monaco,2020/10/18,7,provence-alpes-c-te-d-azur,2020-10-18 15:00:00+02:00,17°,15°,1mm
